Date,Heat
2018-05-24 15:00:00+00:00,0.001515599139966024
2018-05-24 16:00:00+00:00,0.0012081588965327
2018-05-29 10:00:00+00:00,0.00020065582498316598
2018-05-29 11:00:00+00:00,0.0005862097745799617
2018-05-29 12:00:00+00:00,0.0004597406559382362
2018-05-29 13:00:00+00:00,2.3840712189361666e-05
2018-05-29 14:00:00+00:00,0.0
2018-05-29 15:00:00+00:00,0.0
2018-05-29 16:00:00+00:00,0.0
2018-05-29 17:00:00+00:00,9.545446672139708e-06
2018-05-29 18:00:00+00:00,0.0001616844669554169
2018-05-29 19:00:00+00:00,0.00018826684220883333
2018-05-29 20:00:00+00:00,0.00010933836177473764
2018-05-29 21:00:00+00:00,6.868034186732859e-06
2018-05-29 22:00:00+00:00,0.0
2018-05-29 23:00:00+00:00,0.0
2018-05-30 00:00:00+00:00,0.0
2018-05-30 01:00:00+00:00,0.0
2018-05-30 02:00:00+00:00,0.0
2018-05-30 03:00:00+00:00,0.0
2018-05-30 04:00:00+00:00,0.0
2018-05-30 05:00:00+00:00,0.0
2018-05-30 06:00:00+00:00,0.0
2018-05-30 07:00:00+00:00,0.0
2018-05-30 08:00:00+00:00,0.0
2018-05-30 09:00:00+00:00,0.0
2018-05-30 10:00:00+00:00,0.0
2018-05-30 11:00:00+00:00,0.0
2018-05-30 12:00:00+00:00,0.0
2018-05-30 13:00:00+00:00,0.0
2018-05-30 14:00:00+00:00,0.0
2018-05-30 15:00:00+00:00,0.0
2018-05-30 16:00:00+00:00,0.0
2018-05-30 17:00:00+00:00,0.0
2018-05-30 18:00:00+00:00,0.0
2018-05-30 19:00:00+00:00,0.00023420959676054761
2018-05-30 20:00:00+00:00,0.0002565255519584267
2018-05-30 21:00:00+00:00,0.00026975678532223
2018-05-30 22:00:00+00:00,0.00024152339998782834
2018-05-30 23:00:00+00:00,0.00025013902632049166
2018-05-31 00:00:00+00:00,0.0001911315853551891
2018-05-31 01:00:00+00:00,0.0
2018-05-31 02:00:00+00:00,0.0
2018-05-31 03:00:00+00:00,0.0
2018-05-31 04:00:00+00:00,0.0
2018-05-31 05:00:00+00:00,0.0
2018-05-31 06:00:00+00:00,0.0
2018-05-31 07:00:00+00:00,0.0
2018-05-31 08:00:00+00:00,0.0
2018-05-31 09:00:00+00:00,0.0
2018-05-31 10:00:00+00:00,0.0
2018-05-31 11:00:00+00:00,0.0
2018-05-31 12:00:00+00:00,0.0
2018-05-31 13:00:00+00:00,0.0
2018-05-31 14:00:00+00:00,0.0
2018-05-31 15:00:00+00:00,0.0
2018-05-31 16:00:00+00:00,0.0
2018-05-31 17:00:00+00:00,0.0
2018-05-31 18:00:00+00:00,0.0
2018-05-31 19:00:00+00:00,0.0006920212760935846
2018-05-31 20:00:00+00:00,0.0010853526434705418
2018-05-31 21:00:00+00:00,0.0011163208924699084
2018-05-31 22:00:00+00:00,0.0006895112872977
2018-05-31 23:00:00+00:00,0.0
2018-06-01 00:00:00+00:00,0.0
2018-06-01 01:00:00+00:00,0.0
2018-06-01 02:00:00+00:00,0.0
2018-06-01 03:00:00+00:00,0.0
2018-06-01 04:00:00+00:00,0.0
2018-06-01 05:00:00+00:00,0.0
2018-06-01 06:00:00+00:00,0.0
2018-06-01 07:00:00+00:00,0.0
2018-06-01 08:00:00+00:00,0.0
2018-06-01 09:00:00+00:00,0.0
2018-06-01 10:00:00+00:00,0.0
2018-06-01 11:00:00+00:00,0.0
2018-06-01 12:00:00+00:00,0.0
2018-06-01 13:00:00+00:00,0.0
2018-06-01 14:00:00+00:00,0.0
2018-06-01 15:00:00+00:00,0.0
2018-06-01 16:00:00+00:00,0.0
2018-06-01 17:00:00+00:00,0.0
2018-06-01 18:00:00+00:00,0.0
2018-06-01 19:00:00+00:00,0.0
2018-06-01 20:00:00+00:00,0.0
2018-06-01 21:00:00+00:00,0.0
2018-06-01 22:00:00+00:00,0.0
2018-06-01 23:00:00+00:00,0.0
2018-06-02 00:00:00+00:00,0.0
2018-06-02 01:00:00+00:00,0.0
2018-06-02 02:00:00+00:00,0.0
2018-06-02 03:00:00+00:00,0.0
2018-06-02 04:00:00+00:00,0.0
2018-06-02 05:00:00+00:00,0.0
2018-06-02 06:00:00+00:00,0.0
2018-06-02 07:00:00+00:00,0.0
2018-06-02 08:00:00+00:00,0.0
2018-06-02 09:00:00+00:00,0.0
2018-06-02 10:00:00+00:00,0.0
2018-06-02 11:00:00+00:00,0.0
2018-06-02 12:00:00+00:00,1.3465173833537846e-05
2018-06-02 13:00:00+00:00,3.2770294116820273e-06
2018-06-02 14:00:00+00:00,0.0
2018-06-02 15:00:00+00:00,0.0
2018-06-02 16:00:00+00:00,9.207446964865084e-08
2018-06-02 17:00:00+00:00,1.3003815358558767e-05
2018-06-02 18:00:00+00:00,8.255800342641786e-05
2018-06-02 19:00:00+00:00,0.0001287894852187392
2018-06-02 20:00:00+00:00,0.00012219122393915835
2018-06-02 21:00:00+00:00,2.6071815057088687e-05
